Transaction_ID,Transaction_Amount,Transaction_Type,Vendor_Risk_Score,Employee_ID,Department,Transaction_Frequency,Round_Amount_Flag,Weekend_Transaction,Approval_Level,Previous_Fraud_Flag,Unusual_Time_Flag,Multiple_Approvals,Vendor_New_Flag,Audit_Risk
T00001,9385.36,Expense,0.75,E394,Finance,28,1,0,VP,0,0,1,0,0
T00002,60202.43,Transfer,0.15,E395,Admin,25,0,0,Manager,0,0,0,0,0
T00003,26334.91,Purchase,0.87,E234,Finance,17,0,1,VP,0,0,0,1,0
T00004,18258.85,Transfer,0.64,E132,Finance,8,0,0,VP,0,0,1,0,0
T00005,3392.5,Expense,0.23,E392,Admin,6,0,0,Manager,0,0,0,0,0
T00006,3391.93,Expense,0.16,E131,IT,1,0,0,Manager,0,0,0,1,0
T00007,1196.78,Expense,0.63,E142,HR,13,0,0,Manager,0,0,0,0,0
T00008,40224.62,Expense,0.9,E391,Admin,18,0,0,Director,0,1,0,0,0
T00009,18381.64,Transfer,0.72,E380,HR,4,0,1,Manager,0,0,1,1,0
T00010,24625.0,Purchase,0.35,E207,Sales,15,1,0,Manager,0,0,0,0,0
T00011,415.99,Transfer,0.59,E195,Finance,14,1,0,VP,0,0,1,0,0
T00012,70071.15,Purchase,0.31,E165,Sales,16,0,0,VP,0,1,0,1,0
T00013,35728.59,Expense,1.0,E108,Finance,5,0,1,VP,0,0,0,0,0
T00014,4773.75,Purchase,0.75,E329,IT,1,1,1,Director,0,0,0,0,1
T00015,4013.58,Expense,0.61,E320,Admin,26,0,0,Director,0,0,0,0,0
T00016,4052.23,Transfer,0.42,E377,IT,23,0,0,Manager,0,0,1,1,0
T00017,7255.07,Purchase,0.62,E198,Finance,29,0,0,VP,0,0,0,0,0
T00018,14878.56,Transfer,0.34,E370,Sales,4,1,1,VP,0,0,0,0,0
T00019,11310.74,Expense,0.03,E362,Finance,17,0,0,VP,1,0,0,1,0
T00020,6884.46,Transfer,0.4,E263,IT,28,0,0,Director,0,0,0,0,0
T00021,18927.42,Expense,0.93,E115,IT,6,1,0,Manager,1,0,0,1,1
T00022,3004.69,Expense,0.63,E268,Sales,25,1,0,Director,0,0,0,0,0
T00023,6910.31,Expense,0.08,E120,Sales,25,0,0,VP,0,0,1,0,0
T00024,9125.54,Transfer,0.88,E127,IT,27,0,0,Director,0,0,0,0,0
T00025,12178.69,Transfer,0.27,E182,Finance,4,1,0,Manager,0,0,0,1,0
T00026,30758.72,Purchase,0.24,E372,Finance,7,0,0,Manager,0,0,0,1,0
T00027,4454.72,Purchase,0.3,E135,Admin,26,1,0,VP,0,1,0,1,0
T00028,14440.58,Transfer,0.58,E375,IT,1,0,0,Director,1,0,0,0,0
T00029,17950.09,Transfer,0.54,E332,Admin,10,1,0,VP,0,0,0,0,0
T00030,951.28,Transfer,0.49,E203,IT,13,0,0,VP,1,0,0,0,0
T00031,18706.66,Transfer,0.72,E105,Admin,9,0,0,Manager,0,0,1,0,0
T00032,3739.23,Expense,0.32,E122,HR,14,0,0,VP,0,0,1,1,0
T00033,1345.28,Expense,0.78,E269,Finance,1,0,0,VP,0,0,1,1,0
T00034,59473.76,Expense,0.18,E251,Finance,9,0,0,Manager,0,0,1,0,0
T00035,67412.61,Transfer,0.78,E343,HR,6,1,0,Director,0,0,0,0,1
T00036,33046.63,Expense,0.66,E340,Sales,10,1,0,Director,0,0,0,1,0
T00037,7265.76,Expense,0.68,E360,HR,11,0,0,Director,0,0,1,1,0
T00038,2055.55,Purchase,0.48,E145,Finance,7,0,1,Manager,0,0,1,0,0
T00039,23055.02,Purchase,0.67,E372,IT,20,1,1,VP,0,0,1,0,0
T00040,11601.82,Expense,0.08,E174,Admin,25,1,0,Director,0,0,0,0,0
T00041,2603.04,Expense,0.85,E382,Finance,28,0,0,Manager,0,0,0,1,0
T00042,13670.94,Expense,0.06,E295,HR,22,0,0,Director,0,0,0,0,0
T00043,699.87,Transfer,0.15,E122,IT,12,0,0,Director,0,0,0,0,0
T00044,48008.46,Purchase,0.58,E186,Finance,22,0,0,Director,0,0,0,0,0
T00045,5989.16,Purchase,0.74,E220,HR,12,0,0,VP,0,0,0,0,0
T00046,21725.12,Purchase,0.08,E248,Finance,14,0,0,Manager,0,0,1,0,0
T00047,7470.93,Expense,0.92,E249,HR,10,0,0,Director,0,1,0,1,0
T00048,14682.22,Transfer,0.97,E164,HR,16,0,0,Director,0,0,1,1,0
T00049,15824.48,Purchase,0.61,E259,Finance,22,1,0,Manager,0,0,0,0,0
T00050,4087.77,Purchase,0.48,E383,IT,4,1,0,Manager,1,0,0,0,0
T00051,69856.14,Transfer,0.74,E181,Finance,29,1,0,Manager,0,1,1,0,1
T00052,29844.91,Expense,0.33,E106,Finance,23,0,0,Manager,1,0,0,0,0
T00053,56101.89,Expense,0.49,E281,IT,14,0,1,Manager,0,0,0,0,0
T00054,45043.04,Purchase,0.92,E113,Finance,2,1,1,VP,0,0,0,0,1
T00055,18221.09,Purchase,0.96,E282,Admin,2,0,0,Manager,0,0,0,0,0
T00056,50988.71,Transfer,0.93,E143,Admin,29,1,0,Director,0,0,0,0,1
T00057,1853.11,Purchase,0.26,E273,Admin,11,0,1,VP,0,0,1,0,0
T00058,4362.69,Transfer,0.23,E113,HR,11,1,0,Director,0,0,0,1,0
T00059,925.64,Purchase,0.3,E399,Sales,6,0,0,VP,1,0,1,0,0
T00060,7870.64,Purchase,0.44,E172,Finance,25,0,0,Manager,0,0,0,1,0
T00061,9842.61,Purchase,0.31,E322,Sales,3,0,0,VP,0,0,1,1,0
T00062,6331.21,Expense,0.37,E101,Admin,23,0,0,Director,0,0,0,0,0
T00063,35291.16,Transfer,0.62,E309,IT,9,0,0,VP,0,0,0,1,0
T00064,8824.54,Transfer,0.76,E360,Admin,28,0,0,VP,0,0,0,0,0
T00065,6596.06,Expense,0.74,E189,Finance,25,1,0,Manager,0,0,0,1,0
T00066,15648.14,Expense,0.81,E351,Sales,3,0,0,Director,0,1,0,0,0
T00067,3037.96,Expense,0.03,E146,Sales,1,1,0,VP,0,0,1,0,0
T00068,32409.67,Transfer,0.05,E262,HR,2,1,0,Director,0,0,0,0,0
T00069,1549.52,Purchase,0.79,E215,IT,15,0,0,VP,0,0,1,1,0
T00070,86682.93,Expense,0.53,E178,Admin,11,0,1,Director,0,0,0,0,0
T00071,29589.68,Expense,0.58,E107,IT,8,0,0,Director,1,0,0,1,0
T00072,4430.79,Expense,0.05,E122,Finance,16,0,0,Director,0,0,0,0,0
T00073,110.75,Purchase,0.26,E368,HR,23,1,0,Manager,0,0,1,0,0
T00074,33797.94,Purchase,0.64,E378,Admin,17,0,1,Manager,0,0,0,0,0
T00075,24541.92,Expense,0.86,E130,Finance,3,0,0,Director,0,0,0,1,0
T00076,26113.26,Purchase,0.92,E269,IT,8,0,0,Director,0,0,1,0,0
T00077,29504.29,Expense,0.5,E229,HR,7,0,0,Manager,0,0,1,1,0
T00078,1538.59,Purchase,0.55,E256,Admin,21,0,0,VP,0,0,1,0,0
T00079,8877.85,Transfer,0.83,E121,IT,3,1,0,Director,0,1,1,1,1
T00080,2463.0,Transfer,0.54,E225,Admin,7,0,0,Director,0,0,1,1,0
T00081,39770.59,Purchase,0.52,E268,HR,5,1,0,Manager,0,0,0,1,0
T00082,19526.02,Transfer,0.91,E265,HR,1,0,0,VP,0,0,0,0,0
T00083,8036.38,Transfer,0.79,E256,IT,5,0,0,Director,0,0,1,0,0
T00084,1313.36,Transfer,0.91,E121,Admin,3,0,0,Director,1,0,1,0,0
T00085,7449.77,Expense,0.22,E363,Sales,18,1,1,Director,0,0,0,0,0
T00086,7866.28,Purchase,0.52,E362,Finance,29,0,0,Director,0,0,0,0,0
T00087,26157.52,Purchase,0.84,E311,HR,19,0,0,Manager,0,0,1,1,0
T00088,20297.79,Purchase,0.11,E263,Admin,10,1,0,VP,0,0,0,0,0
T00089,43645.04,Transfer,0.79,E235,IT,4,0,0,VP,1,0,0,0,0
T00090,12781.32,Expense,0.18,E351,IT,13,0,0,Director,0,0,1,0,0
T00091,2547.45,Purchase,0.81,E304,HR,29,0,0,VP,0,0,0,0,0
T00092,24982.53,Transfer,0.61,E341,HR,1,0,1,VP,0,1,0,1,0
T00093,28607.86,Expense,0.19,E378,Sales,4,1,0,VP,0,0,0,0,0
T00094,16477.75,Expense,0.47,E160,IT,9,0,0,Director,0,0,1,0,0
T00095,29477.8,Purchase,0.68,E398,Admin,17,0,1,VP,0,0,0,0,0
T00096,13616.29,Purchase,0.63,E194,Finance,11,0,0,VP,1,0,0,0,0
T00097,14793.58,Transfer,0.43,E247,Finance,7,0,0,Director,0,1,0,1,0
T00098,11156.28,Purchase,0.9,E358,Sales,24,1,1,Manager,0,0,0,1,1
T00099,514.96,Transfer,0.52,E129,Admin,25,0,0,Manager,0,0,0,0,0
T00100,2283.35,Expense,0.51,E117,Finance,7,0,0,Manager,1,0,0,0,0
T00101,638.67,Expense,0.06,E286,Finance,13,1,0,Manager,0,0,0,0,0
T00102,20234.59,Expense,0.92,E311,Admin,25,0,0,VP,0,0,1,0,0
T00103,7547.93,Expense,0.18,E134,Admin,26,0,0,Director,0,0,0,0,0
T00104,14208.74,Purchase,0.53,E246,HR,29,0,0,Manager,0,0,0,0,0
T00105,47625.31,Purchase,0.8,E381,Finance,19,1,0,Director,0,0,0,0,0
T00106,5734.78,Transfer,0.22,E134,Finance,17,1,0,Manager,0,1,0,0,0
T00107,10565.64,Transfer,0.53,E175,Sales,18,0,0,VP,0,0,1,1,0
T00108,28174.98,Transfer,0.24,E171,HR,26,0,0,Director,0,0,1,0,0
T00109,5196.1,Transfer,0.76,E348,HR,13,0,1,Manager,1,1,1,1,1
T00110,1602.09,Transfer,0.56,E156,Finance,17,0,0,VP,1,0,0,0,0
T00111,6842.81,Expense,0.86,E109,IT,18,0,0,VP,0,0,1,0,0
T00112,3516.17,Expense,0.89,E312,IT,25,0,0,VP,0,1,0,0,0
T00113,53099.0,Expense,0.65,E336,Admin,21,0,0,Manager,0,0,1,0,0
T00114,33017.74,Transfer,0.73,E333,HR,20,1,1,Director,0,0,0,1,1
T00115,20069.88,Expense,0.55,E322,Finance,2,0,0,Manager,0,0,0,0,0
T00116,41030.39,Expense,0.38,E203,Finance,19,0,0,VP,0,0,0,0,0
T00117,32559.38,Expense,0.65,E197,Finance,15,0,0,VP,0,1,0,0,0
T00118,4129.91,Expense,0.91,E325,Sales,9,0,0,Manager,0,1,0,0,0
T00119,44616.27,Purchase,0.42,E321,IT,29,0,0,Director,0,0,1,0,0
T00120,15502.0,Transfer,0.31,E379,Sales,29,1,0,Manager,0,0,0,0,0
T00121,32946.97,Transfer,0.39,E142,Finance,14,0,0,Director,0,0,0,0,0
